Age,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Calories_Burned (kcal),Gender_Male,Workout_Type_HIIT,Workout_Type_Mixed,Workout_Type_Strength,Workout_Type_Yoga,Cluster
53,46.3,1.48,163.0,141.0,72.0,0.67,24.0,4.5,2,0,21.1,188.2,True,False,True,False,False,2
57,68.4,1.75,162.0,134.0,84.0,0.54,25.8,2.3,2,0,22.4,165.7,False,False,False,False,False,2
21,59.8,1.75,200.0,158.0,59.0,1.14,13.9,3.9,3,1,19.5,287.2,True,False,False,True,False,1
19,63.1,1.82,203.0,160.0,80.0,0.69,20.7,2.8,2,0,19.1,198.2,True,False,False,False,False,0
23,52.1,1.58,205.0,187.0,82.0,0.55,25.0,3.1,2,0,20.9,232.4,True,True,False,False,False,0
59,88.5,1.7,164.0,144.0,83.0,0.83,25.8,4.4,3,0,30.8,442.5,False,False,True,False,False,2
21,80.3,1.74,200.0,165.0,60.0,1.52,16.3,4.0,7,3,26.6,719.45,True,False,True,False,False,1
46,65.1,1.72,175.0,150.0,78.0,0.25,22.8,3.6,3,0,21.9,96.6,True,False,True,False,False,2
35,71.9,1.59,183.0,165.0,61.0,1.06,16.7,4.0,5,2,28.3,617.2,False,True,False,False,False,1
43,49.2,1.45,177.0,161.0,70.0,0.7,26.8,2.8,4,1,23.4,278.3,False,True,False,False,False,0
51,86.5,1.71,173.0,158.0,74.0,1.08,25.4,3.4,2,0,29.4,719.45,True,True,False,False,False,2
27,91.0,1.66,189.0,135.0,69.0,1.14,19.5,4.3,5,1,32.8,171.2,True,False,False,False,True,1
53,74.1,1.62,169.0,146.0,76.0,0.56,15.6,3.4,5,1,28.1,249.9,False,False,True,False,False,2
31,75.2,1.76,188.0,152.0,66.0,1.04,15.0,3.6,5,2,24.4,330.8,True,False,False,True,False,1
48,75.2,1.68,181.0,141.0,68.0,1.05,15.8,3.4,5,3,26.8,357.1,True,False,False,False,False,1
32,57.7,1.55,189.0,139.0,76.0,0.25,21.7,3.1,3,0,24.1,24.1,True,False,False,False,True,2
25,39.8,1.49,197.0,154.0,76.0,0.71,21.8,3.6,4,2,18.0,127.5,False,False,False,False,False,0
31,52.5,1.57,185.0,148.0,81.0,0.6,28.8,2.2,3,0,21.4,142.1,True,False,False,False,False,0
40,72.9,1.9,187.0,170.0,75.0,0.44,22.1,2.6,2,0,20.2,258.5,False,True,False,False,False,0
57,65.4,1.75,166.0,125.0,76.0,0.66,27.3,4.2,3,0,21.3,70.5,False,False,False,False,True,2
38,90.0,1.7,189.0,150.0,61.0,0.93,18.1,4.1,4,2,31.2,349.2,False,False,False,True,False,1
33,78.7,1.66,186.0,147.0,76.0,0.64,22.3,2.9,3,0,28.5,227.6,True,False,False,False,False,0
35,70.6,1.66,185.0,143.0,65.0,0.92,22.7,2.4,3,1,25.8,295.5,False,False,False,False,False,0
41,88.0,1.8,172.0,127.0,72.0,1.0,22.7,4.3,5,2,27.2,145.2,True,False,False,False,True,1
43,47.9,1.63,186.0,149.0,63.0,1.25,15.3,4.8,6,2,18.0,251.2,False,False,False,True,False,1
42,81.3,1.74,180.0,144.0,62.0,1.42,10.5,4.7,7,3,26.9,481.4,True,False,False,True,False,1
58,75.1,1.65,171.0,139.0,64.0,0.52,29.1,3.2,3,0,27.8,164.2,True,False,False,True,False,2
46,63.2,1.87,172.0,136.0,69.0,1.27,18.2,3.7,3,1,18.0,365.5,True,False,False,False,False,2
32,83.3,1.75,190.0,171.0,58.0,1.09,16.8,3.4,6,3,27.1,719.45,False,True,False,False,False,1
18,59.6,1.8,205.0,149.0,80.0,0.43,25.3,3.5,2,0,18.3,42.4,True,False,False,False,True,0
42,47.3,1.62,180.0,146.0,68.0,1.22,25.8,4.2,5,2,18.0,241.1,True,False,False,True,False,1
24,93.5,1.79,194.0,177.0,80.0,0.41,34.9,2.4,3,0,29.3,309.9,False,True,False,False,False,0
26,54.3,1.65,192.0,154.0,67.0,1.03,23.0,4.1,5,2,20.0,233.6,False,False,False,True,False,1
41,60.4,1.69,177.0,140.0,71.0,0.99,17.4,3.3,5,2,21.1,272.5,True,False,False,False,False,1
18,95.0,1.84,205.0,162.0,62.0,1.31,15.2,4.0,5,3,28.0,522.2,False,False,False,True,False,1
25,56.6,1.58,192.0,147.0,63.0,0.78,17.5,2.5,5,1,22.8,201.2,False,False,False,False,False,0
41,67.3,1.7,169.0,122.0,65.0,1.07,24.3,4.2,6,2,23.3,118.4,False,False,False,False,True,1
28,68.9,1.72,192.0,151.0,75.0,0.25,26.2,2.1,2,0,23.2,78.3,True,False,False,False,False,0
34,76.2,1.73,186.0,147.0,55.0,0.74,30.6,3.2,4,1,25.4,237.6,False,False,False,True,False,0
25,61.7,1.63,193.0,161.0,65.0,0.93,29.2,4.5,3,1,23.1,344.3,True,False,True,False,False,0
52,87.2,1.89,165.0,152.0,80.0,0.89,26.1,3.5,4,1,24.5,624.5,False,True,False,False,False,2
52,52.9,1.55,167.0,132.0,69.0,0.52,22.0,3.2,3,1,22.0,123.8,False,False,False,False,False,2
50,84.7,1.83,163.0,127.0,59.0,1.13,15.9,3.4,7,3,25.4,438.1,True,False,False,False,False,1
22,82.0,1.8,205.0,170.0,64.0,0.62,32.7,3.8,3,0,25.3,305.8,False,False,True,False,False,0
59,104.9,1.87,162.0,134.0,68.0,0.25,28.9,2.5,3,0,31.6,116.4,False,False,False,True,False,2
56,52.0,1.52,165.0,149.0,62.0,1.33,11.0,3.9,7,3,22.5,555.0,False,True,False,False,False,1
58,59.0,1.59,167.0,152.0,68.0,0.77,23.6,3.7,4,1,23.3,366.2,False,True,False,False,False,2
45,83.5,1.83,189.0,170.0,64.0,0.72,22.4,3.6,4,1,25.0,484.3,True,True,False,False,False,0
24,62.0,1.49,194.0,177.0,81.0,0.7,21.3,2.9,3,0,27.9,350.3,True,True,False,False,False,0
26,45.3,1.52,196.0,140.0,71.0,0.27,27.7,3.7,3,0,19.6,20.3,True,False,False,False,True,0
25,65.0,1.63,199.0,153.0,68.0,0.76,18.2,3.1,3,0,24.4,224.4,True,False,False,False,False,0
29,52.0,1.7,194.0,141.0,75.0,0.67,26.5,3.5,2,0,18.0,58.0,True,False,False,False,True,0
51,77.5,1.84,174.0,125.0,66.0,0.44,18.8,3.8,5,1,22.9,55.9,True,False,False,False,True,2
50,78.1,1.66,175.0,140.0,61.0,0.98,13.8,3.8,7,2,28.3,318.2,True,False,False,True,False,1
40,55.3,1.62,178.0,137.0,60.0,1.32,18.8,3.6,6,3,21.1,333.4,False,False,False,False,False,1
41,72.3,1.71,185.0,151.0,72.0,0.41,26.2,3.1,2,0,24.7,124.3,True,False,False,True,False,0
54,65.3,1.73,165.0,121.0,67.0,0.43,15.3,3.3,3,0,21.9,46.4,True,False,False,False,True,2
52,61.1,1.72,169.0,140.0,73.0,0.69,16.6,3.3,3,1,20.6,176.5,True,False,False,True,False,2
57,77.0,1.66,166.0,127.0,79.0,0.25,33.4,3.2,3,0,27.9,31.9,False,False,False,False,True,2
39,43.7,1.48,177.0,149.0,64.0,0.92,8.0,4.4,7,2,19.8,241.9,True,False,True,False,False,1
44,63.5,1.59,178.0,131.0,73.0,0.95,24.4,4.0,4,1,25.2,100.0,True,False,False,False,True,2
52,83.8,1.82,171.0,132.0,58.0,1.31,8.0,3.5,5,3,25.2,503.2,True,False,False,False,False,1
18,59.4,1.7,193.0,154.0,65.0,0.27,21.6,3.5,3,0,20.6,66.9,False,False,False,True,False,0
52,66.9,1.65,175.0,161.0,79.0,0.35,24.1,3.1,3,0,24.6,190.0,True,True,False,False,False,2
54,65.0,1.79,162.0,149.0,75.0,1.03,29.7,3.9,3,0,20.3,541.0,False,True,False,False,False,2
31,64.1,1.57,190.0,150.0,76.0,0.5,36.2,2.5,2,0,26.1,145.6,False,False,False,False,False,0
20,51.5,1.66,205.0,163.0,64.0,0.9,17.6,3.9,4,2,18.7,195.3,False,False,False,True,False,0
18,65.0,1.69,205.0,183.0,59.0,0.84,16.2,3.6,7,3,22.6,440.5,False,True,False,False,False,1
22,61.5,1.64,203.0,165.0,76.0,0.63,26.4,3.3,2,0,23.0,162.9,True,False,False,True,False,0
43,81.3,1.69,183.0,167.0,76.0,0.63,25.4,3.3,2,0,28.5,413.8,False,True,False,False,False,0
31,67.8,1.66,187.0,150.0,81.0,0.57,29.2,3.1,2,0,24.6,176.1,False,False,False,False,False,0
56,66.0,1.54,159.0,146.0,72.0,0.94,19.4,3.6,3,1,27.8,501.3,True,True,False,False,False,2
44,75.6,1.7,178.0,163.0,76.0,0.77,27.6,3.2,5,1,26.2,471.7,False,True,False,False,False,0
26,62.7,1.55,198.0,179.0,73.0,0.94,23.7,3.4,5,2,26.2,474.8,False,True,False,False,False,0
32,65.3,1.7,194.0,146.0,57.0,1.0,20.5,3.5,6,2,22.7,296.9,False,False,False,False,False,1
32,92.8,1.82,192.0,140.0,76.0,0.65,22.1,4.1,5,1,28.1,99.8,False,False,False,False,True,0
43,61.6,1.65,175.0,144.0,73.0,1.12,20.5,4.6,5,1,22.6,288.1,False,False,False,True,False,1
59,44.0,1.56,165.0,141.0,67.0,1.1,24.9,4.2,7,2,18.0,292.4,False,False,True,False,False,1
30,64.3,1.67,179.0,153.0,75.0,1.08,24.4,4.5,5,1,23.1,416.7,True,False,True,False,False,1
49,65.8,1.6,177.0,162.0,74.0,0.58,26.3,2.8,3,0,25.8,309.8,True,True,False,False,False,0
56,54.5,1.74,160.0,135.0,78.0,0.37,25.8,3.2,2,0,18.0,84.1,True,False,False,True,False,2
49,56.7,1.67,166.0,152.0,70.0,0.6,28.9,2.8,3,0,20.5,276.1,True,True,False,False,False,2
21,65.4,1.85,205.0,162.0,63.0,1.39,21.0,4.3,4,1,19.1,380.3,False,False,False,True,False,1
47,87.6,1.8,173.0,148.0,73.0,0.9,34.6,3.8,4,1,27.1,473.0,False,False,True,False,False,2
54,85.1,1.66,165.0,151.0,75.0,0.68,34.3,2.8,3,0,30.7,464.2,False,True,False,False,False,2
40,71.1,1.75,174.0,158.0,65.0,0.95,18.5,3.3,4,2,23.2,547.5,True,True,False,False,False,1
56,70.3,1.64,166.0,136.0,66.0,0.82,23.6,3.5,3,1,26.1,242.1,True,False,False,True,False,2
32,73.7,1.68,192.0,140.0,77.0,0.34,28.7,3.5,3,0,26.0,41.2,False,False,False,False,True,0
46,81.6,1.64,172.0,156.0,63.0,0.71,16.0,3.2,5,2,30.2,469.6,False,True,False,False,False,1
53,66.0,1.76,156.0,133.0,65.0,0.92,17.1,4.2,5,2,21.4,363.0,True,False,True,False,False,1
30,76.9,1.82,198.0,179.0,73.0,0.31,26.4,2.6,2,0,23.1,192.0,True,True,False,False,False,0
49,70.1,1.76,170.0,130.0,56.0,1.32,12.8,3.1,7,3,22.6,420.5,True,False,False,False,False,1
24,76.3,1.77,194.0,152.0,74.0,0.46,21.4,2.9,2,0,24.3,159.7,True,False,False,False,False,0
39,104.9,1.77,181.0,131.0,71.0,1.01,20.6,4.6,6,2,34.0,176.7,False,False,False,False,True,1
45,72.6,1.74,171.0,137.0,58.0,1.14,8.0,4.0,5,3,24.1,347.2,True,False,False,True,False,1
19,50.5,1.57,205.0,156.0,64.0,1.03,16.9,3.5,7,2,20.6,237.6,True,False,False,False,False,1
59,66.3,1.85,165.0,149.0,64.0,0.71,26.8,2.9,4,2,19.4,376.4,False,True,False,False,False,2
23,100.4,1.86,199.0,178.0,57.0,1.31,17.5,3.6,7,3,29.0,719.45,False,True,False,False,False,1
45,56.4,1.66,187.0,155.0,81.0,0.25,25.9,2.4,2,0,20.6,59.1,False,False,False,True,False,0
45,71.9,1.64,172.0,135.0,68.0,0.54,26.6,2.4,3,0,26.7,175.1,True,False,False,False,False,2
37,64.5,1.74,189.0,159.0,70.0,1.08,17.2,4.3,3,1,21.3,416.8,True,False,True,False,False,0
47,57.0,1.74,162.0,130.0,56.0,1.54,9.7,4.4,5,3,18.9,367.7,True,False,False,True,False,1
28,72.8,1.66,195.0,165.0,73.0,0.67,14.0,4.3,3,1,26.4,294.3,True,False,True,False,False,0
45,51.9,1.55,186.0,167.0,61.0,1.14,13.1,3.5,7,3,21.5,476.6,False,True,False,False,False,1
42,75.2,1.71,173.0,150.0,81.0,0.62,28.5,3.8,2,0,25.7,279.7,False,False,True,False,False,2
56,78.3,1.74,172.0,141.0,69.0,1.09,16.2,3.7,7,2,26.0,358.0,True,False,False,True,False,1
50,80.4,1.75,163.0,127.0,60.0,0.75,15.4,3.1,7,3,26.2,274.6,True,False,False,False,False,1
18,67.4,1.71,205.0,166.0,74.0,0.55,18.4,3.1,5,1,22.9,156.2,True,False,False,True,False,0
44,73.1,1.65,174.0,124.0,64.0,1.13,15.6,4.8,6,3,26.7,135.2,False,False,False,False,True,1
30,64.3,1.78,186.0,134.0,70.0,0.66,23.1,3.9,3,0,20.3,70.2,True,False,False,False,True,2
58,51.2,1.69,159.0,135.0,64.0,1.18,12.9,4.5,7,3,18.0,361.2,False,False,True,False,False,1
20,71.6,1.63,200.0,179.0,61.0,1.05,9.7,3.8,7,3,26.8,606.3,True,True,False,False,False,1
56,68.1,1.66,163.0,133.0,77.0,0.83,23.7,3.3,3,0,24.7,257.6,False,False,False,False,False,2
23,48.9,1.51,197.0,165.0,68.0,1.17,28.5,4.6,3,1,21.6,344.2,False,False,True,False,False,0
25,50.0,1.66,197.0,157.0,66.0,0.57,17.4,3.1,5,1,18.1,118.8,True,False,False,True,False,0
44,55.1,1.75,177.0,129.0,70.0,0.77,27.5,4.0,3,0,18.0,70.2,False,False,False,False,True,2
26,71.1,1.71,194.0,146.0,58.0,0.77,25.3,3.0,3,0,24.2,248.0,False,False,False,False,False,0
54,102.7,1.83,164.0,122.0,71.0,0.44,26.2,3.4,2,0,30.6,74.3,True,False,False,False,True,2
50,64.1,1.65,172.0,141.0,82.0,0.86,22.5,2.9,3,1,23.4,253.0,False,False,False,False,False,2
59,67.4,1.73,163.0,132.0,74.0,0.71,33.2,2.5,3,1,22.6,218.3,True,False,False,False,False,2
41,74.0,1.76,181.0,127.0,62.0,1.34,13.2,5.1,6,3,23.9,162.5,False,False,False,False,True,1
32,104.9,1.9,188.0,139.0,80.0,0.5,26.9,3.4,3,0,32.7,96.8,False,False,False,False,True,2
49,77.5,1.69,168.0,136.0,64.0,0.89,16.6,4.3,4,2,27.0,286.5,False,False,False,True,False,1
49,50.3,1.58,171.0,142.0,73.0,0.59,34.8,3.6,3,0,20.3,125.4,False,False,False,True,False,2
41,75.1,1.76,178.0,138.0,64.0,1.4,9.6,3.3,5,2,24.1,477.7,True,False,False,False,False,1
58,88.3,1.87,152.0,123.0,56.0,0.97,13.5,3.7,7,3,25.3,358.7,True,False,False,True,False,1
29,53.7,1.65,196.0,157.0,67.0,0.95,23.1,3.4,5,1,19.8,213.6,True,False,False,True,False,0
56,84.1,1.76,165.0,138.0,75.0,0.41,29.1,2.7,3,0,27.0,144.8,False,False,False,True,False,2
19,67.4,1.8,201.0,155.0,70.0,1.02,28.7,3.3,4,1,20.7,312.3,False,False,False,False,False,0
20,57.1,1.78,203.0,184.0,82.0,0.83,28.8,3.7,2,0,18.0,379.5,True,True,False,False,False,0
54,69.6,1.69,162.0,149.0,75.0,0.8,20.8,3.6,4,1,24.3,449.9,True,True,False,False,False,2
34,61.4,1.61,193.0,161.0,68.0,0.37,25.3,3.7,3,0,23.7,135.2,True,False,True,False,False,0
19,67.1,1.67,205.0,185.0,74.0,0.44,24.1,3.2,3,0,24.0,237.7,True,True,False,False,False,0
19,62.4,1.73,195.0,134.0,59.0,1.09,17.6,4.0,6,2,20.9,112.5,False,False,False,False,True,1
45,67.4,1.77,172.0,119.0,55.0,1.37,15.9,4.7,5,3,21.5,151.5,True,False,False,False,True,1
40,83.7,1.71,183.0,149.0,70.0,1.01,21.7,3.5,5,1,28.5,354.6,False,False,False,True,False,0
54,69.5,1.64,167.0,145.0,78.0,0.38,27.1,3.8,2,0,25.8,159.1,True,False,True,False,False,2
49,60.8,1.74,171.0,142.0,75.0,0.7,27.2,3.9,3,0,20.2,178.2,False,False,False,True,False,2
50,56.1,1.77,172.0,139.0,62.0,1.06,8.0,3.7,6,3,18.0,249.8,True,False,False,True,False,1
18,60.0,1.72,193.0,172.0,58.0,1.28,13.5,3.7,7,3,20.3,616.1,True,True,False,False,False,1
36,62.8,1.6,179.0,147.0,70.0,0.56,27.7,3.1,3,0,24.6,149.1,False,False,False,True,False,2
19,59.3,1.66,198.0,163.0,58.0,1.25,13.0,4.3,7,3,21.5,444.7,False,False,True,False,False,1
43,66.7,1.77,181.0,164.0,67.0,1.08,11.9,3.9,6,3,21.2,582.3,True,True,False,False,False,1
49,51.4,1.54,160.0,139.0,77.0,1.15,24.8,4.1,3,0,21.6,353.2,False,False,True,False,False,2
23,51.3,1.47,198.0,156.0,57.0,1.33,14.5,4.0,7,2,23.7,287.4,True,False,False,True,False,1
49,91.0,1.83,169.0,140.0,71.0,1.12,18.2,3.4,3,1,27.1,430.6,False,False,False,True,False,2
21,71.9,1.73,202.0,184.0,81.0,0.63,22.2,2.8,2,0,24.0,366.3,True,True,False,False,False,0
28,73.5,1.74,196.0,155.0,79.0,0.67,27.2,2.8,3,0,24.2,223.9,True,False,False,False,False,0
34,57.1,1.57,194.0,177.0,76.0,0.5,22.1,3.1,3,1,23.1,232.2,True,True,False,False,False,0
55,67.7,1.75,159.0,123.0,55.0,0.99,17.9,3.2,7,3,22.0,306.8,True,False,False,False,False,1
41,80.4,1.71,175.0,137.0,66.0,1.03,19.6,3.4,6,2,27.6,377.6,True,False,False,False,False,1
22,62.4,1.52,198.0,179.0,73.0,0.81,23.7,3.1,3,0,27.0,407.2,True,True,False,False,False,0
51,104.9,1.82,176.0,145.0,73.0,0.96,22.2,3.2,3,1,32.2,430.4,True,False,False,True,False,2
23,76.0,1.7,199.0,166.0,66.0,0.88,22.8,4.5,5,1,26.4,402.3,True,False,True,False,False,0
39,59.2,1.64,182.0,147.0,66.0,0.92,32.5,3.4,4,1,22.0,228.2,False,False,False,True,False,2
28,55.0,1.64,198.0,152.0,65.0,1.1,21.3,3.6,4,2,20.4,277.0,False,False,False,False,False,1
33,60.8,1.48,185.0,131.0,65.0,0.54,27.9,3.6,5,1,27.8,54.2,False,False,False,False,True,2
50,62.7,1.74,176.0,151.0,76.0,0.4,28.4,4.0,3,0,20.7,150.5,True,False,True,False,False,2
26,79.3,1.71,203.0,161.0,65.0,0.68,32.4,3.5,2,0,27.2,225.1,True,False,False,True,False,0
23,57.8,1.66,196.0,142.0,76.0,0.54,22.7,3.4,3,1,21.0,51.5,True,False,False,False,True,0
33,83.0,1.81,179.0,123.0,55.0,0.8,13.3,3.9,7,2,25.4,109.2,False,False,False,False,True,1
46,47.0,1.54,175.0,150.0,75.0,0.97,24.1,4.2,5,1,19.8,273.5,False,False,True,False,False,2
20,71.2,1.62,205.0,157.0,67.0,1.09,24.4,3.8,5,1,27.1,354.3,False,False,False,False,False,0
37,48.5,1.59,185.0,128.0,58.0,0.76,20.2,3.7,7,2,19.1,60.9,False,False,False,False,True,1
53,68.5,1.65,160.0,120.0,71.0,0.74,28.5,3.6,5,1,25.1,83.7,False,False,False,False,True,2
36,66.0,1.69,190.0,159.0,64.0,1.21,8.0,4.9,6,3,23.2,481.7,True,False,True,False,False,1
43,72.5,1.72,181.0,166.0,81.0,0.6,25.9,2.9,2,0,24.4,351.3,False,True,False,False,False,0
20,60.7,1.65,205.0,170.0,66.0,1.37,21.9,4.5,6,3,22.4,497.8,True,False,True,False,False,1
36,56.6,1.59,190.0,148.0,71.0,0.63,23.9,2.9,2,0,22.3,161.5,True,False,False,False,False,0
37,84.1,1.85,180.0,148.0,71.0,1.04,24.6,3.8,5,1,24.6,370.7,True,False,False,True,False,2
49,72.2,1.9,176.0,142.0,61.0,0.51,17.7,3.0,4,1,20.0,155.6,False,False,False,True,False,2
24,57.3,1.69,193.0,138.0,70.0,0.95,21.4,4.5,5,1,20.0,90.3,False,False,False,False,True,1
58,58.1,1.6,156.0,114.0,62.0,1.03,19.1,4.3,5,3,22.6,99.3,True,False,False,False,True,1
50,74.8,1.83,166.0,124.0,73.0,0.58,30.2,3.5,3,0,22.4,71.4,False,False,False,False,True,2
57,47.1,1.54,166.0,133.0,56.0,0.94,21.8,3.8,5,2,20.0,186.0,False,False,False,True,False,1
56,75.1,1.65,162.0,132.0,62.0,1.29,17.3,4.0,6,2,27.7,406.9,True,False,False,True,False,1
35,58.8,1.61,192.0,155.0,85.0,0.66,24.9,2.9,3,0,22.7,177.7,True,False,False,False,False,0
57,56.5,1.56,169.0,153.0,62.0,1.08,15.8,3.4,7,3,23.1,493.0,True,True,False,False,False,1
18,51.0,1.65,205.0,184.0,68.0,0.86,14.8,3.3,3,1,18.7,352.8,True,True,False,False,False,0
28,82.0,1.59,199.0,136.0,59.0,1.04,15.4,4.2,6,3,32.3,140.7,True,False,False,False,True,1
45,95.3,1.68,169.0,133.0,67.0,0.82,15.8,2.8,6,2,33.7,354.0,False,False,False,False,False,1
42,59.1,1.68,183.0,165.0,62.0,0.86,21.5,3.3,3,1,20.9,411.0,True,True,False,False,False,0
40,75.7,1.62,183.0,131.0,68.0,0.84,26.3,4.6,2,0,28.9,104.5,False,False,False,False,True,2
48,63.8,1.64,166.0,150.0,61.0,0.91,19.6,3.8,5,2,23.6,467.5,False,True,False,False,False,1
