Unnamed: 0,Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Base_MET,HR_Intensity,Effective_MET,Calories_Burned (kcal),HR_Reserve_Ratio,Cluster
24,39,Male,89.4,1.78,188.0,171.0,74.0,0.27,HIIT,17.1,2.6,3,0,28.2,9.5,0.8508771929824561,8.083333333333334,195.1,0.8508771929824561,1
25,42,Female,85.0,1.64,184.0,155.0,67.0,0.8,Mixed,25.8,3.9,5,1,31.7,8.0,0.7521367521367521,6.017094017094017,409.2,0.7521367521367521,1
26,44,Female,58.9,1.61,181.0,153.0,68.0,0.87,Mixed,14.4,4.4,4,2,22.8,8.0,0.7522123893805309,6.017699115044247,308.4,0.7522123893805309,0
27,59,Female,86.0,1.9,153.0,115.0,70.0,0.69,Yoga,24.2,4.0,5,1,23.8,3.0,0.5421686746987951,1.6265060240963851,96.5,0.5421686746987951,1
28,45,Female,95.8,1.86,172.0,129.0,77.0,0.6,Yoga,31.4,3.5,5,1,27.6,3.0,0.5473684210526316,1.642105263157895,94.4,0.5473684210526316,1
29,33,Female,75.0,1.73,184.0,129.0,60.0,1.0,Yoga,22.6,4.4,7,2,25.2,3.0,0.5564516129032258,1.6693548387096773,125.2,0.5564516129032258,0
30,32,Female,72.4,1.79,185.0,153.0,55.0,1.645,Mixed,11.1,5.0,6,3,22.5,8.0,0.7538461538461538,6.030769230769231,737.9,0.7538461538461538,0
31,20,Male,46.9,1.46,205.0,158.0,72.0,0.89,Cardio,20.6,3.5,3,1,22.1,7.0,0.6466165413533834,4.526315789473684,188.9,0.6466165413533834,1
32,54,Male,46.2,1.6,157.0,135.0,69.0,1.25,Mixed,14.7,4.3,7,3,18.0,8.0,0.75,6.0,346.5,0.75,0
33,24,Male,66.5,1.63,198.0,179.0,72.0,0.87,HIIT,20.9,2.9,5,1,24.9,9.5,0.8492063492063492,8.067460317460318,466.7,0.8492063492063492,1
34,38,Male,64.8,1.66,186.0,167.0,60.0,1.22,HIIT,18.7,3.8,6,2,23.6,9.5,0.8492063492063492,8.067460317460318,637.8,0.8492063492063492,0
35,26,Female,59.2,1.63,190.0,172.0,65.0,0.91,HIIT,24.6,3.3,3,1,22.2,9.5,0.856,8.132,438.1,0.856,1
36,56,Male,42.0,1.45,167.0,133.0,70.0,1.29,Cardio,12.6,3.2,7,3,20.0,7.0,0.6494845360824743,4.546391752577319,246.3,0.6494845360824743,0
37,35,Female,60.2,1.72,187.0,151.0,68.0,0.37,Strength,18.6,2.7,4,1,20.4,6.0,0.6974789915966386,4.184873949579831,93.2,0.6974789915966386,1
38,21,Female,79.6,1.73,198.0,163.0,60.0,1.01,Mixed,19.7,4.2,5,2,26.5,8.0,0.7463768115942029,5.971014492753623,480.0,0.7463768115942029,0
39,42,Male,93.2,1.84,183.0,135.0,76.0,0.63,Yoga,22.1,3.6,5,1,27.5,3.0,0.5514018691588785,1.6542056074766354,97.1,0.5514018691588785,1
40,31,Male,58.2,1.6,186.0,167.0,59.0,1.35,HIIT,9.0,3.8,5,3,22.7,9.5,0.8503937007874016,8.078740157480315,634.7,0.8503937007874016,0
41,26,Female,56.5,1.59,199.0,178.0,55.0,1.16,HIIT,18.3,3.7,7,3,22.3,9.5,0.8541666666666666,8.114583333333332,531.8,0.8541666666666666,0
42,43,Female,43.3,1.45,178.0,150.0,85.0,0.81,Strength,26.3,3.3,3,0,20.6,6.0,0.6989247311827957,4.193548387096774,147.1,0.6989247311827957,1
43,19,Female,75.6,1.65,199.0,161.0,73.0,0.57,Strength,26.6,3.4,5,1,27.7,6.0,0.6984126984126984,4.19047619047619,180.6,0.6984126984126984,1
44,37,Female,75.6,1.77,182.0,148.0,67.0,0.83,Strength,28.7,3.7,3,0,24.1,6.0,0.7043478260869566,4.22608695652174,265.2,0.7043478260869566,1
45,45,Male,66.8,1.62,168.0,147.0,82.0,0.8,Mixed,20.3,4.2,3,0,25.5,8.0,0.7558139534883721,6.046511627906977,323.1,0.7558139534883721,1
46,24,Female,91.3,1.89,194.0,173.0,55.0,1.35,HIIT,19.2,3.6,7,3,25.4,9.5,0.8489208633093526,8.06474820143885,994.0,0.8489208633093526,0
47,25,Male,62.3,1.65,189.0,146.0,64.0,0.87,Cardio,17.9,3.2,4,1,22.8,7.0,0.656,4.5920000000000005,248.9,0.656,0
48,52,Female,55.5,1.69,169.0,133.0,66.0,1.01,Cardio,24.3,3.1,3,1,19.3,7.0,0.6504854368932039,4.553398058252427,255.2,0.6504854368932039,1
49,31,Female,47.7,1.54,194.0,158.0,75.0,1.06,Strength,25.0,3.8,7,2,20.0,6.0,0.6974789915966386,4.184873949579831,211.6,0.6974789915966386,0
50,34,Female,83.2,1.71,188.0,150.0,80.0,0.95,Cardio,23.8,3.1,4,1,28.5,7.0,0.6481481481481481,4.537037037037037,358.6,0.6481481481481481,1
51,53,Male,46.3,1.48,163.0,141.0,72.0,0.67,Mixed,24.0,4.5,2,0,21.1,8.0,0.7582417582417582,6.065934065934066,188.2,0.7582417582417582,1
52,57,Female,68.4,1.75,162.0,134.0,84.0,0.54,Cardio,25.8,2.3,2,0,22.4,7.0,0.6410256410256411,4.487179487179487,165.7,0.6410256410256411,1
53,21,Male,59.8,1.75,200.0,158.0,59.0,1.14,Strength,13.9,3.9,3,1,19.5,6.0,0.7021276595744681,4.212765957446809,287.2,0.7021276595744681,0
54,19,Male,63.1,1.82,203.0,160.0,80.0,0.69,Cardio,20.7,2.8,2,0,19.1,7.0,0.6504065040650406,4.5528455284552845,198.2,0.6504065040650406,1
55,23,Male,52.1,1.58,205.0,187.0,82.0,0.55,HIIT,25.0,3.1,2,0,20.9,9.5,0.8536585365853658,8.109756097560975,232.4,0.8536585365853658,1
56,59,Female,88.5,1.7,164.0,144.0,83.0,0.83,Mixed,25.8,4.4,3,0,30.8,8.0,0.7530864197530864,6.024691358024692,442.5,0.7530864197530864,1
57,21,Male,80.3,1.74,200.0,165.0,60.0,1.52,Mixed,16.3,4.0,7,3,26.6,8.0,0.75,6.0,732.3,0.75,0
58,46,Male,65.1,1.72,175.0,150.0,78.0,0.25,Mixed,22.8,3.6,3,0,21.9,8.0,0.7422680412371134,5.938144329896907,96.6,0.7422680412371134,1
59,35,Female,71.9,1.59,183.0,165.0,61.0,1.06,HIIT,16.7,4.0,5,2,28.3,9.5,0.8524590163934426,8.098360655737704,617.2,0.8524590163934426,0
60,43,Female,49.2,1.45,177.0,161.0,70.0,0.7,HIIT,26.8,2.8,4,1,23.4,9.5,0.8504672897196262,8.07943925233645,278.3,0.8504672897196262,1
61,51,Male,86.5,1.71,173.0,158.0,74.0,1.08,HIIT,25.4,3.4,2,0,29.4,9.5,0.8484848484848485,8.06060606060606,753.0,0.8484848484848485,1
62,27,Male,91.0,1.66,189.0,135.0,69.0,1.14,Yoga,19.5,4.3,5,1,32.8,3.0,0.55,1.65,171.2,0.55,0
63,53,Female,74.1,1.62,169.0,146.0,76.0,0.56,Mixed,15.6,3.4,5,1,28.1,8.0,0.7526881720430108,6.021505376344086,249.9,0.7526881720430108,1
64,31,Male,75.2,1.76,188.0,152.0,66.0,1.04,Strength,15.0,3.6,5,2,24.4,6.0,0.7049180327868853,4.229508196721311,330.8,0.7049180327868853,0
65,48,Male,75.2,1.68,181.0,141.0,68.0,1.05,Cardio,15.8,3.4,5,3,26.8,7.0,0.6460176991150443,4.522123893805309,357.1,0.6460176991150443,0
66,32,Male,57.7,1.55,189.0,139.0,76.0,0.25,Yoga,21.7,3.1,3,0,24.1,3.0,0.5575221238938053,1.672566371681416,24.1,0.5575221238938053,1
67,25,Female,39.8,1.49,197.0,154.0,76.0,0.71,Cardio,21.8,3.6,4,2,18.0,7.0,0.6446280991735537,4.512396694214876,127.5,0.6446280991735537,1
68,31,Male,52.5,1.57,185.0,148.0,81.0,0.6,Cardio,28.8,2.2,3,0,21.4,7.0,0.6442307692307693,4.509615384615385,142.1,0.6442307692307693,1
69,40,Female,72.9,1.9,187.0,170.0,75.0,0.44,HIIT,22.1,2.6,2,0,20.2,9.5,0.8482142857142857,8.058035714285714,258.5,0.8482142857142857,1
70,57,Female,65.4,1.75,166.0,125.0,76.0,0.66,Yoga,27.3,4.2,3,0,21.3,3.0,0.5444444444444444,1.6333333333333333,70.5,0.5444444444444444,1
71,38,Female,90.0,1.7,189.0,150.0,61.0,0.93,Strength,18.1,4.1,4,2,31.2,6.0,0.6953125,4.171875,349.2,0.6953125,0
72,33,Male,78.7,1.66,186.0,147.0,76.0,0.64,Cardio,22.3,2.9,3,0,28.5,7.0,0.6454545454545455,4.5181818181818185,227.6,0.6454545454545455,1
73,35,Female,70.6,1.66,185.0,143.0,65.0,0.92,Cardio,22.7,2.4,3,1,25.8,7.0,0.65,4.55,295.5,0.65,1
74,41,Male,88.0,1.8,172.0,127.0,72.0,1.0,Yoga,22.7,4.3,5,2,27.2,3.0,0.55,1.65,145.2,0.55,0
75,43,Female,47.9,1.63,186.0,149.0,63.0,1.25,Strength,15.3,4.8,6,2,18.0,6.0,0.6991869918699187,4.195121951219512,251.2,0.6991869918699187,0
76,42,Male,81.3,1.74,180.0,144.0,62.0,1.42,Strength,10.5,4.7,7,3,26.9,6.0,0.6949152542372882,4.169491525423729,481.4,0.6949152542372882,0
77,58,Male,75.1,1.65,171.0,139.0,64.0,0.52,Strength,29.1,3.2,3,0,27.8,6.0,0.7009345794392523,4.205607476635514,164.2,0.7009345794392523,1
78,46,Male,63.2,1.87,172.0,136.0,69.0,1.27,Cardio,18.2,3.7,3,1,18.0,7.0,0.6504854368932039,4.553398058252427,365.5,0.6504854368932039,0
79,32,Female,83.3,1.75,190.0,171.0,58.0,1.09,HIIT,16.8,3.4,6,3,27.1,9.5,0.8560606060606061,8.132575757575758,738.4,0.8560606060606061,0
80,18,Male,59.6,1.8,205.0,149.0,80.0,0.43,Yoga,25.3,3.5,2,0,18.3,3.0,0.552,1.656,42.4,0.552,1
81,42,Male,47.3,1.62,180.0,146.0,68.0,1.22,Strength,25.8,4.2,5,2,18.0,6.0,0.6964285714285714,4.178571428571429,241.1,0.6964285714285714,0
82,24,Female,93.5,1.79,194.0,177.0,80.0,0.41,HIIT,34.9,2.4,3,0,29.3,9.5,0.8508771929824561,8.083333333333334,309.9,0.8508771929824561,1
83,26,Female,54.3,1.65,192.0,154.0,67.0,1.03,Strength,23.0,4.1,5,2,20.0,6.0,0.696,4.176,233.6,0.696,0
84,41,Male,60.4,1.69,177.0,140.0,71.0,0.99,Cardio,17.4,3.3,5,2,21.1,7.0,0.6509433962264151,4.556603773584905,272.5,0.6509433962264151,0
85,18,Female,95.0,1.84,205.0,162.0,62.0,1.31,Strength,15.2,4.0,5,3,28.0,6.0,0.6993006993006993,4.195804195804196,522.2,0.6993006993006993,0
86,25,Female,56.6,1.58,192.0,147.0,63.0,0.78,Cardio,17.5,2.5,5,1,22.8,7.0,0.6511627906976745,4.558139534883721,201.2,0.6511627906976745,1
87,41,Female,67.3,1.7,169.0,122.0,65.0,1.07,Yoga,24.3,4.2,6,2,23.3,3.0,0.5480769230769231,1.6442307692307694,118.4,0.5480769230769231,0
88,28,Male,68.9,1.72,192.0,151.0,75.0,0.25,Cardio,26.2,2.1,2,0,23.2,7.0,0.6495726495726496,4.547008547008547,78.3,0.6495726495726496,1
89,34,Female,76.2,1.73,186.0,147.0,55.0,0.74,Strength,30.6,3.2,4,1,25.4,6.0,0.7022900763358778,4.213740458015267,237.6,0.7022900763358778,1
90,25,Male,61.7,1.63,193.0,161.0,65.0,0.93,Mixed,29.2,4.5,3,1,23.1,8.0,0.75,6.0,344.3,0.75,1
91,52,Female,87.2,1.89,165.0,152.0,80.0,0.89,HIIT,26.1,3.5,4,1,24.5,9.5,0.8470588235294118,8.047058823529412,624.5,0.8470588235294118,1
92,52,Female,52.9,1.55,167.0,132.0,69.0,0.52,Cardio,22.0,3.2,3,1,22.0,7.0,0.6428571428571429,4.5,123.8,0.6428571428571429,1
93,50,Male,84.7,1.83,163.0,127.0,59.0,1.13,Cardio,15.9,3.4,7,3,25.4,7.0,0.6538461538461539,4.576923076923077,438.1,0.6538461538461539,0
94,22,Female,82.0,1.8,205.0,170.0,64.0,0.62,Mixed,32.7,3.8,3,0,25.3,8.0,0.75177304964539,6.01418439716312,305.8,0.75177304964539,1
95,59,Female,104.9,1.87,162.0,134.0,68.0,0.25,Strength,28.9,2.5,3,0,31.6,6.0,0.7021276595744681,4.212765957446809,116.4,0.7021276595744681,1
96,56,Female,52.0,1.52,165.0,149.0,62.0,1.33,HIIT,11.0,3.9,7,3,22.5,9.5,0.8446601941747572,8.024271844660193,555.0,0.8446601941747572,0
97,58,Female,59.0,1.59,167.0,152.0,68.0,0.77,HIIT,23.6,3.7,4,1,23.3,9.5,0.8484848484848485,8.06060606060606,366.2,0.8484848484848485,1
98,45,Male,83.5,1.83,189.0,170.0,64.0,0.72,HIIT,22.4,3.6,4,1,25.0,9.5,0.848,8.056,484.3,0.848,1
99,24,Male,62.0,1.49,194.0,177.0,81.0,0.7,HIIT,21.3,2.9,3,0,27.9,9.5,0.8495575221238938,8.070796460176991,350.3,0.8495575221238938,1
100,26,Male,45.3,1.52,196.0,140.0,71.0,0.27,Yoga,27.7,3.7,3,0,19.6,3.0,0.552,1.656,20.3,0.552,1
101,25,Male,65.0,1.63,199.0,153.0,68.0,0.76,Cardio,18.2,3.1,3,0,24.4,7.0,0.648854961832061,4.541984732824427,224.4,0.648854961832061,1
102,29,Male,52.0,1.7,194.0,141.0,75.0,0.67,Yoga,26.5,3.5,2,0,18.0,3.0,0.5546218487394958,1.6638655462184877,58.0,0.5546218487394958,1
103,51,Male,77.5,1.84,174.0,125.0,66.0,0.44,Yoga,18.8,3.8,5,1,22.9,3.0,0.5462962962962963,1.6388888888888888,55.9,0.5462962962962963,1
104,50,Male,78.1,1.66,175.0,140.0,61.0,0.98,Strength,13.8,3.8,7,2,28.3,6.0,0.6929824561403509,4.157894736842105,318.2,0.6929824561403509,0
105,40,Female,55.3,1.62,178.0,137.0,60.0,1.32,Cardio,18.8,3.6,6,3,21.1,7.0,0.652542372881356,4.567796610169491,333.4,0.652542372881356,0
106,41,Male,72.3,1.71,185.0,151.0,72.0,0.41,Strength,26.2,3.1,2,0,24.7,6.0,0.6991150442477876,4.1946902654867255,124.3,0.6991150442477876,1
107,54,Male,65.3,1.73,165.0,121.0,67.0,0.43,Yoga,15.3,3.3,3,0,21.9,3.0,0.5510204081632653,1.6530612244897958,46.4,0.5510204081632653,1
108,52,Male,61.1,1.72,169.0,140.0,73.0,0.69,Strength,16.6,3.3,3,1,20.6,6.0,0.6979166666666666,4.1875,176.5,0.6979166666666666,1
109,57,Female,77.0,1.66,166.0,127.0,79.0,0.25,Yoga,33.4,3.2,3,0,27.9,3.0,0.5517241379310345,1.6551724137931034,31.9,0.5517241379310345,1
110,39,Male,43.7,1.48,177.0,149.0,64.0,0.92,Mixed,8.0,4.4,7,2,19.8,8.0,0.7522123893805309,6.017699115044247,241.9,0.7522123893805309,0
111,44,Male,63.5,1.59,178.0,131.0,73.0,0.95,Yoga,24.4,4.0,4,1,25.2,3.0,0.5523809523809524,1.6571428571428573,100.0,0.5523809523809524,1
112,52,Male,83.8,1.82,171.0,132.0,58.0,1.31,Cardio,8.0,3.5,5,3,25.2,7.0,0.6548672566371682,4.5840707964601775,503.2,0.6548672566371682,0
113,18,Female,59.4,1.7,193.0,154.0,65.0,0.27,Strength,21.6,3.5,3,0,20.6,6.0,0.6953125,4.171875,66.9,0.6953125,1
114,52,Male,66.9,1.65,175.0,161.0,79.0,0.35,HIIT,24.1,3.1,3,0,24.6,9.5,0.8541666666666666,8.114583333333332,190.0,0.8541666666666666,1
115,54,Female,65.0,1.79,162.0,149.0,75.0,1.03,HIIT,29.7,3.9,3,0,20.3,9.5,0.8505747126436781,8.080459770114942,541.0,0.8505747126436781,1
116,31,Female,64.1,1.57,190.0,150.0,76.0,0.5,Cardio,36.2,2.5,2,0,26.1,7.0,0.6491228070175439,4.543859649122807,145.6,0.6491228070175439,1
117,20,Female,51.5,1.66,205.0,163.0,64.0,0.9,Strength,17.6,3.9,4,2,18.7,6.0,0.7021276595744681,4.212765957446809,195.3,0.7021276595744681,0
118,18,Female,65.0,1.69,205.0,183.0,59.0,0.84,HIIT,16.2,3.6,7,3,22.6,9.5,0.8493150684931506,8.068493150684931,440.5,0.8493150684931506,0
119,22,Male,61.5,1.64,203.0,165.0,76.0,0.63,Strength,26.4,3.3,2,0,23.0,6.0,0.7007874015748031,4.2047244094488185,162.9,0.7007874015748031,1
120,43,Female,81.3,1.69,183.0,167.0,76.0,0.63,HIIT,25.4,3.3,2,0,28.5,9.5,0.8504672897196262,8.07943925233645,413.8,0.8504672897196262,1
121,31,Female,67.8,1.66,187.0,150.0,81.0,0.57,Cardio,29.2,3.1,2,0,24.6,7.0,0.6509433962264151,4.556603773584905,176.1,0.6509433962264151,1
122,56,Male,66.0,1.54,159.0,146.0,72.0,0.94,HIIT,19.4,3.6,3,1,27.8,9.5,0.8505747126436781,8.080459770114942,501.3,0.8505747126436781,1
123,44,Female,75.6,1.7,178.0,163.0,76.0,0.77,HIIT,27.6,3.2,5,1,26.2,9.5,0.8529411764705882,8.102941176470589,471.7,0.8529411764705882,1
124,26,Female,62.7,1.55,198.0,179.0,73.0,0.94,HIIT,23.7,3.4,5,2,26.2,9.5,0.848,8.056,474.8,0.848,1
125,32,Female,65.3,1.7,194.0,146.0,57.0,1.0,Cardio,20.5,3.5,6,2,22.7,7.0,0.6496350364963503,4.547445255474452,296.9,0.6496350364963503,0
126,32,Female,92.8,1.82,192.0,140.0,76.0,0.65,Yoga,22.1,4.1,5,1,28.1,3.0,0.5517241379310345,1.6551724137931034,99.8,0.5517241379310345,1
127,43,Female,61.6,1.65,175.0,144.0,73.0,1.12,Strength,20.5,4.6,5,1,22.6,6.0,0.696078431372549,4.1764705882352935,288.1,0.696078431372549,0
128,59,Female,44.0,1.56,165.0,141.0,67.0,1.1,Mixed,24.9,4.2,7,2,18.0,8.0,0.7551020408163265,6.040816326530612,292.4,0.7551020408163265,0
129,30,Male,64.3,1.67,179.0,153.0,75.0,1.08,Mixed,24.4,4.5,5,1,23.1,8.0,0.75,6.0,416.7,0.75,0
130,49,Male,65.8,1.6,177.0,162.0,74.0,0.58,HIIT,26.3,2.8,3,0,25.8,9.5,0.8543689320388349,8.116504854368932,309.8,0.8543689320388349,1
131,56,Male,54.5,1.74,160.0,135.0,78.0,0.37,Strength,25.8,3.2,2,0,18.0,6.0,0.6951219512195121,4.170731707317072,84.1,0.6951219512195121,1
132,49,Male,56.7,1.67,166.0,152.0,70.0,0.6,HIIT,28.9,2.8,3,0,20.5,9.5,0.8541666666666666,8.114583333333332,276.1,0.8541666666666666,1
133,21,Female,65.4,1.85,205.0,162.0,63.0,1.39,Strength,21.0,4.3,4,1,19.1,6.0,0.6971830985915493,4.183098591549296,380.3,0.6971830985915493,0
134,47,Female,87.6,1.8,173.0,148.0,73.0,0.9,Mixed,34.6,3.8,4,1,27.1,8.0,0.75,6.0,473.0,0.75,1
135,54,Female,85.1,1.66,165.0,151.0,75.0,0.68,HIIT,34.3,2.8,3,0,30.7,9.5,0.8444444444444444,8.022222222222222,464.2,0.8444444444444444,1
136,40,Male,71.1,1.75,174.0,158.0,65.0,0.95,HIIT,18.5,3.3,4,2,23.2,9.5,0.8532110091743119,8.105504587155963,547.5,0.8532110091743119,0
137,56,Male,70.3,1.64,166.0,136.0,66.0,0.82,Strength,23.6,3.5,3,1,26.1,6.0,0.7,4.199999999999999,242.1,0.7,1
138,32,Female,73.7,1.68,192.0,140.0,77.0,0.34,Yoga,28.7,3.5,3,0,26.0,3.0,0.5478260869565217,1.643478260869565,41.2,0.5478260869565217,1
139,46,Female,81.6,1.64,172.0,156.0,63.0,0.71,HIIT,16.0,3.2,5,2,30.2,9.5,0.8532110091743119,8.105504587155963,469.6,0.8532110091743119,0
140,53,Male,66.0,1.76,156.0,133.0,65.0,0.92,Mixed,17.1,4.2,5,2,21.4,8.0,0.7472527472527473,5.978021978021978,363.0,0.7472527472527473,0
141,30,Male,76.9,1.82,198.0,179.0,73.0,0.31,HIIT,26.4,2.6,2,0,23.1,9.5,0.848,8.056,192.0,0.848,1
142,49,Male,70.1,1.76,170.0,130.0,56.0,1.32,Cardio,12.8,3.1,7,3,22.6,7.0,0.6491228070175439,4.543859649122807,420.5,0.6491228070175439,0
143,24,Male,76.3,1.77,194.0,152.0,74.0,0.46,Cardio,21.4,2.9,2,0,24.3,7.0,0.65,4.55,159.7,0.65,1
144,39,Female,104.9,1.77,181.0,131.0,71.0,1.01,Yoga,20.6,4.6,6,2,34.0,3.0,0.5454545454545454,1.6363636363636362,176.7,0.5454545454545454,0
145,45,Male,72.6,1.74,171.0,137.0,58.0,1.14,Strength,8.0,4.0,5,3,24.1,6.0,0.6991150442477876,4.1946902654867255,347.2,0.6991150442477876,0
146,19,Male,50.5,1.57,205.0,156.0,64.0,1.03,Cardio,16.9,3.5,7,2,20.6,7.0,0.6524822695035462,4.567375886524824,237.6,0.6524822695035462,0
147,59,Female,66.3,1.85,165.0,149.0,64.0,0.71,HIIT,26.8,2.9,4,2,19.4,9.5,0.8415841584158416,7.995049504950495,376.4,0.8415841584158416,1
148,23,Female,100.4,1.86,199.0,178.0,57.0,1.31,HIIT,17.5,3.6,7,3,29.0,9.5,0.852112676056338,8.095070422535212,1064.7,0.852112676056338,0
149,45,Female,56.4,1.66,187.0,155.0,81.0,0.25,Strength,25.9,2.4,2,0,20.6,6.0,0.6981132075471698,4.188679245283018,59.1,0.6981132075471698,1
150,45,Male,71.9,1.64,172.0,135.0,68.0,0.54,Cardio,26.6,2.4,3,0,26.7,7.0,0.6442307692307693,4.509615384615385,175.1,0.6442307692307693,1
151,37,Male,64.5,1.74,189.0,159.0,70.0,1.08,Mixed,17.2,4.3,3,1,21.3,8.0,0.7478991596638656,5.983193277310924,416.8,0.7478991596638656,0
152,47,Male,57.0,1.74,162.0,130.0,56.0,1.54,Strength,9.7,4.4,5,3,18.9,6.0,0.6981132075471698,4.188679245283018,367.7,0.6981132075471698,0
153,28,Male,72.8,1.66,195.0,165.0,73.0,0.67,Mixed,14.0,4.3,3,1,26.4,8.0,0.7540983606557377,6.032786885245901,294.3,0.7540983606557377,1
154,45,Female,51.9,1.55,186.0,167.0,61.0,1.14,HIIT,13.1,3.5,7,3,21.5,9.5,0.848,8.056,476.6,0.848,0
155,42,Female,75.2,1.71,173.0,150.0,81.0,0.62,Mixed,28.5,3.8,2,0,25.7,8.0,0.75,6.0,279.7,0.75,1
156,56,Male,78.3,1.74,172.0,141.0,69.0,1.09,Strength,16.2,3.7,7,2,26.0,6.0,0.6990291262135923,4.194174757281553,358.0,0.6990291262135923,0
157,50,Male,80.4,1.75,163.0,127.0,60.0,0.75,Cardio,15.4,3.1,7,3,26.2,7.0,0.6504854368932039,4.553398058252427,274.6,0.6504854368932039,0
158,18,Male,67.4,1.71,205.0,166.0,74.0,0.55,Strength,18.4,3.1,5,1,22.9,6.0,0.7022900763358778,4.213740458015267,156.2,0.7022900763358778,1
